  06 01 04    220   0 -14 -12  -9  -7  -6  -5  -2  -1   0   2   1  -1   0  -2  -4  -3  -2  -2  -2   0   3   3   3   0  -3
  06 01 05    220   0   1   1   2   3   4   3   3   3   2   0  -2  -2   3   4   2   2   5   8   6   3   0  -1  -4  -6   2
  06 01 06    220   0  -9 -10 -10 -11 -11 -10 -12 -11 -11  -9  -7  -8 -12 -13  -9  -9 -17 -17 -12 -12 -14 -16 -13 -11 -11
  06 01 07    220   0 -11 -10  -9  -7  -4  -4  -5  -6  -5  -4  -7  -4  -4  -6 -11 -11  -5  -1   0  -1  -5  -7  -9  -9  -6
  06 01 08    220   0  -9  -8  -7  -6  -6  -6  -8 -10 -11  -9 -11  -7  -8 -13 -11  -9  -7  -7  -8  -8  -9  -9  -9  -9  -9
  06 01 09    220   0  -9 -10  -9  -7  -6  -5  -4  -4  -6  -7  -8  -6  -1   3   5   3   0   0   1   3   3   1   1   1  -3
  06 01 10    220   0   1   3   5   6   5   4   5   6   8   9  11  12   7   4   5   0  -1   0   0  -2  -5  -5  -5  -6   3
  06 01 11    220   0  -7  -6  -3   0   1   3   2   3   3   4  11  14  11   7   6   4   5   8  10   8   4   4   7   5   4
  06 01 12    220   0   5   9  12   9  10  11   6   3  -1  -2  -2   5   9  11  11  11  13  14  14   4  -4  -4  -6  -7   5
  06 01 13    220   0  -5  -2   1   1   1   0   0   1   3   2   8  10   8   6   9   9   5   8   4   3   2  -1   0  -1   3
  06 01 14    220   0  -3  -5  -7  -7  -4   0   2   6   5   5   5   7  11  10  11  13  15  15  13  10  10   7   5   9   6
  06 01 15    220   0  10   7   2  -2  -4  -3   0  -1  -6  -5  -3   1   1   2   7  14  15  11   4   2   6  12  12  10   4
  06 01 16    220   0  10  14  14  16  14  12   8   0  -7 -10 -11  -5   2   0 -14 -17 -15 -17 -16 -11  -6  -6  -7  -9  -3
  06 01 17    220   0 -13 -11 -11 -11  -9 -11 -12 -15 -20 -19 -14  -8  -2   1  -2  -3  -1   3   4   3   0  -1   0  -3  -6
  06 01 18    220   0  -5  -6  -5  -6  -6  -3  -6  -7  -9 -10 -10  -6  -2   0   1  -3  -5  -6  -6  -5  -5  -6  -7  -9  -6
  06 01 19    220   0 -13 -11  -7  -3  -1  -1  -5  -6  -7  -8  -9  -8  -5  -3   3   4   3   2  -2  -7  -7 -10  -9  -7  -5
  06 01 20    220   0  -9 -11  -8  -4  -2  -2  -1  -2  -4  -3   1   1   0  -1   2   4   1  -4  -5  -4  -2   2  -1  -2  -2
  06 01 21    220   0  -4  -7  -8  -8  -3   1   2   2  -1  -4  -4  -7 -12 -17 -13  -6  -2   0  -1  -3  -4  -4  -4  -3  -5
  06 01 22    220   0  -4  -3  -2   1   1  -1  -1   0   0  -1  -4  -2  -1  -2   0   0  -2   2   4   5   2   5   6   8   0
  06 01 23    220   0   5   5  13  10  -5 -13  -5  -4  -3 -15 -19 -21 -14 -17 -20 -11 -10  -7  -2  -8 -11 -14 -18 -18  -8
  06 01 24    220   0 -15 -18 -19 -16 -16 -15 -12 -13  -9  -5   1   2  -1  -4  -6  -4  -2  -2  -1  -2  -2   2   6   9  -6
  06 01 25    220   0   9   3   0   1   3   2   3   1   1   1   2   1   3   5   8   8   2   0   1  -6 -10 -15 -19 -28  -1
  06 01 26    220   0 -35 -43 -49 -51 -49 -35 -26 -24 -30 -27 -19 -11 -10 -12 -14 -11 -10 -16 -10  -8 -14 -23 -32 -26 -24
  06 01 27    220   0 -22 -25 -27 -28 -26 -26 -29 -28 -25 -23 -19 -12 -12 -12 -11  -9 -10 -12 -12 -12 -14 -11 -10 -10 -18
  06 01 28    220   0 -10 -12 -14 -18 -17 -14 -15 -16 -15 -15 -18 -19 -18 -18 -14  -9  -7  -8 -11 -12 -14 -15 -11 -10 -14
  06 01 29    220   0 -12 -13 -14 -14 -13 -13 -11 -11 -11 -10  -7  -7  -6  -6  -7  -6  -7  -7  -5  -5  -6  -7  -7  -6  -9
